#,Player,Team,Abbr,Role,Capped,Status,Price_Cr,Base_Price_Cr,MAT,INN,RUNS,BF,NO,HS,AVG,SR,HUNDREDS,FIFTIES,FOURS,SIXES,boundary_pct
1,Rishabh Pant,Lucknow Super Giants,LSG,Wicketkeeper-Batsman,Capped,Auctioned,27.0,2.0,14,13,269,202,2,118,24.45,133.17,1,1,23,16,69.89
2,Shreyas Iyer,Punjab Kings,PBKS,Batsman,Capped,Auctioned,26.75,2.0,18,17,604,345,5,97,50.33,175.07,0,6,43,39,67.22
3,Heinrich Klaasen,Sunrisers Hyderabad,SRH,Batsman,Retained,Retained,23.0,,14,13,487,282,2,105,44.27,172.7,1,1,42,25,65.3
4,Nicholas Pooran,Lucknow Super Giants,LSG,Batsman,Retained,Retained,21.0,,14,14,524,267,2,87,43.67,196.25,0,5,45,40,80.15
5,Virat Kohli,Royal Challengers Bengaluru,RCB,Batsman,Retained,Retained,21.0,,15,15,657,454,3,73,54.75,144.71,0,8,66,19,57.53
6,Sanju Samson,Rajasthan Royals,RR,Batsman,Retained,Retained,18.0,,9,9,285,203,0,66,31.67,140.39,0,1,27,13,65.26
7,Ruturaj Gaikwad,Chennai Super Kings,CSK,Batsman,Retained,Retained,18.0,,5,5,122,81,0,63,24.4,150.62,0,2,14,4,65.57
8,Shubman Gill,Gujarat Titans,GT,Batsman,Retained,Retained,16.5,,15,15,650,417,2,93,50.0,155.88,0,6,62,24,60.31
9,Suryakumar Yadav,Mumbai Indians,MI,Batsman,Retained,Retained,16.35,,16,16,717,427,5,73,65.18,167.92,0,5,69,38,70.29
10,Rohit Sharma,Mumbai Indians,MI,Batsman,Retained,Retained,16.3,,15,15,418,280,1,81,29.86,149.29,0,4,41,22,70.81
11,Jos Buttler,Gujarat Titans,GT,Wicketkeeper-Batsman,Capped,Auctioned,15.75,2.0,14,13,538,330,4,97,59.78,163.03,0,5,52,24,65.43
12,KL Rahul,Delhi Capitals,DC,Wicketkeeper-Batsman,Capped,Auctioned,14.0,2.0,14,14,546,363,4,112,54.6,150.41,1,3,53,21,61.9
13,Dhruv Jurel,Rajasthan Royals,RR,Batsman,Retained,Retained,14.0,,14,13,333,213,4,70,37.0,156.34,0,2,22,22,66.07
14,Travis Head,Sunrisers Hyderabad,SRH,Batsman,Retained,Retained,14.0,,13,12,374,230,0,76,31.17,162.61,0,3,50,15,77.54
15,Rinku Singh,Kolkata Knight Riders,KKR,Batsman,Retained,Retained,13.0,,13,11,206,134,4,38,29.43,153.73,0,0,20,10,67.96
16,Phil Salt,Royal Challengers Bengaluru,RCB,Wicketkeeper-Batsman,Capped,Auctioned,11.5,2.0,13,13,403,229,1,65,33.58,175.98,0,4,48,22,80.4
17,Ishan Kishan,Sunrisers Hyderabad,SRH,Wicketkeeper-Batsman,Capped,Auctioned,11.25,2.0,14,13,354,232,3,106,35.4,152.59,1,1,33,15,62.71
