#,Player,Team,Abbr,Capped,Status,Price_Cr,Base_Price_Cr,MAT,INN,OV,RUNS,WKTS,BBI,AVG,ECON,SR,FOUR_WKTS,FIVE_WKTS,BBI_runs,BBI_wickets
1,Arshdeep Singh,Punjab Kings,PBKS,Capped,Auctioned,18.0,2.0,17,16,58.2,518,21,16/3,24.66,8.88,16.66,0,0,16,3
2,Jasprit Bumrah,Mumbai Indians,MI,Retained,Retained,18.0,,12,12,47.2,316,18,22/4,17.55,6.67,15.77,1,0,22,4
3,Yuzvendra Chahal,Punjab Kings,PBKS,Capped,Auctioned,18.0,2.0,14,13,45.0,430,13,28/4,26.87,9.55,16.87,2,0,28,4
4,Rashid Khan,Gujarat Titans,GT,Retained,Retained,18.0,,15,15,55.0,514,9,25/2,57.11,9.34,36.66,0,0,25,2
5,Kuldeep Yadav,Delhi Capitals,DC,Retained,Retained,13.25,,14,13,51.0,361,15,22/3,24.06,7.07,20.4,0,0,22,3
6,Matheesha Pathirana,Chennai Super Kings,CSK,Retained,Retained,13.0,,12,12,41.5,424,13,36/3,32.61,10.13,19.3,0,0,36,3
7,Jofra Archer,Rajasthan Royals,RR,Capped,Auctioned,12.5,2.0,12,12,45.3,431,11,25/3,39.18,9.47,24.81,0,0,25,3
8,Trent Boult,Mumbai Indians,MI,Capped,Auctioned,12.5,2.0,16,16,57.4,517,22,26/4,23.5,8.96,15.72,1,0,26,4
9,Josh Hazlewood,Royal Challengers Bengaluru,RCB,Capped,Auctioned,12.5,2.0,12,12,44.0,386,22,33/4,17.54,8.77,12.0,1,0,33,4
10,Mohammed Siraj,Gujarat Titans,GT,Capped,Auctioned,12.25,,15,15,57.0,527,16,17/4,32.93,9.24,21.37,1,0,17,4
11,Sunil Narine,Kolkata Knight Riders,KKR,Retained,Retained,12.0,,12,12,45.0,351,12,13/3,29.25,7.8,22.5,0,0,13,3
12,Mayank Yadav,Lucknow Super Giants,LSG,Retained,Retained,11.0,,2,2,8.0,100,2,40/2,50.0,12.5,24.0,0,0,40,2
13,Ravi Bishnoi,Lucknow Super Giants,LSG,Retained,Retained,11.0,,11,11,37.0,401,9,18/2,44.55,10.83,24.66,0,0,18,2
14,Bhuvneshwar Kumar,Royal Challengers Bengaluru,RCB,Capped,Auctioned,10.75,2.0,14,14,52.0,483,17,33/3,28.41,9.28,18.35,0,0,33,3
15,Kagiso Rabada,Gujarat Titans,GT,Capped,Auctioned,10.75,2.0,4,4,14.0,162,2,41/1,81.0,11.57,42.0,0,0,41,1
16,Mohammed Shami,Sunrisers Hyderabad,SRH,Capped,Auctioned,10.0,,9,9,30.0,337,6,28/2,56.16,11.23,30.0,0,0,28,2
17,Noor Ahmad,Chennai Super Kings,CSK,Capped,Auctioned,10.0,2.0,14,14,50.0,408,24,18/4,17.0,8.16,12.5,2,0,18,4
